geneSymbol	Sample_3	Sample_4	Sample_6	Sample_7	Sample_8	Sample_9	Sample_34	Sample_35	Sample_36	Sample_38	Sample_39	Sample_40	Sample_62	Sample_63	Sample_64	Sample_67	Sample_68	Untreated1	Untreated2	HighDose1	HighDose2	Survivors1	Survivors2
VWA1	0	0	2	0	0	0	98	0	54	0	0	4	0	0	0	0	0	2	0	152	40816	0	0
ATAD3C	1	9	9	1	15	108	98	5	2	88	5	4	4	2	5	5	13	19	124	105	40805	11	18
ATAD3B	599	158	63	8	239	527	569	19	45	306	142	49	277	41	18	40	42	820	774	632	32518	336	82
ATAD3A	218	976	22	426	99	817	455	37	19	916	277	666	24	16	13	25	16	1216	1342	511	13098	53	41
AX747755	15	0	0	424	94	113	321	26	6	277	157	654	9	0	0	0	2	15	631	353	7091	9	2
SSU72	3248	1556	21	7	1134	6575	1652	1285	68	924	392	5404	1598	1866	1271	1616	71	4825	7716	3005	16994	4735	1687
AK094692	0	0	1	0	1	0	0	0	1	0	0	2	5	0	2	0	0	1	1	1	14715	7	0
MIB2	0	0	2	3	0	3	177	8	24	23	3	0	2	0	0	0	2	2	6	209	21669	2	2
MMP23B	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	2	0	0	7329	2	1
CDK11B	687	495	245	720	2054	9528	4897	3099	1228	3241	4861	2801	6665	963	66	3304	258	1427	12302	9224	7329	7694	3562
CDC2L1	4	1	0	0	146	148	95	103	39	18	1	403	43	0	0	2	9	5	294	237	156	43	11
SLC35E2B	944	284	120	405	1330	10345	5339	2398	1193	3843	3528	2231	4791	1331	95	4020	283	1348	12080	8930	5470	6217	4303
MMP23A	0	0	0	0	0	0	0	0	0	1	0	0	42	0	0	0	0	0	0	0	202	42	0
CDK11A	132	263	100	402	705	4535	1335	1159	311	678	1834	2018	3732	42	16	373	66	495	5642	2805	555	3790	439
AK097814	302	4	0	0	50	2973	1644	483	273	1338	747	61	541	387	41	745	48	306	3023	2400	42185	969	793
SLC35E2	376	8	12	1	58	2973	2084	531	384	1721	747	88	548	460	41	769	50	396	3029	2999	42185	1019	819
NADK	160	88	28	15	527	693	582	811	231	709	96	67	453	432	5	639	76	276	1235	1624	242	890	715
GNB1	2401	7407	75	1374	9378	10931	19139	8767	606	3843	4832	173	3570	3796	29	18528	1683	9883	21683	28512	242	7395	20211
CALML6	0	0	2	0	0	0	2	0	0	0	0	3	2	0	0	0	0	2	0	2	118	2	0
TMEM52	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	103	0	0
C1orf222	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1178	1	0
KIAA1751	15	5	9	0	9	6	13	13	3	3	7	13	8	2	0	5	2	29	15	29	1385	10	7
AK054708	2	2	4	2	2	2	0	3	0	0	0	0	2	5	4	2	2	8	6	3	1385	11	4
GABRD	0	0	2	0	0	0	1	4	1	2	0	0	0	0	1	0	0	2	0	6	1385	1	0
PRKCZ	29	2478	495	14	109	16	438	116	45	169	127	29	43	21	23	31	41	3002	139	599	3863	87	72
AX747530	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	12	8206	0	0
C1orf86	8	224	11	2	5	9	316	4300	14	117	7	8	9	5	3	5	8	243	16	4630	8206	17	13
BC018779	1	0	2	1	0	0	25	0	0	3	0	4	3	0	2	0	4	3	1	25	20984	5	4
SKI	79	270	817	892	2642	622	8143	959	458	1400	964	7	2324	1923	24	676	46	1166	4156	9560	20984	4271	722
MORN1	62	26	17	1	239	11	142	175	21	199	16	12569	12	11	5	19	14	105	251	338	45651	28	33
LOC100129534	54	0	0	0	0	0	0	0	0	111	2	0	0	0	0	0	0	54	0	0	1077	0	0
RER1	264	1204	7	16	1001	591	3252	3512	73	1017	478	1112	2798	267	639	6986	467	1475	1608	6837	14	3704	7453
PEX10	1	3	1	0	0	347	53	483	0	84	84	0	1	0	2	0	37	5	347	536	508	3	37
PLCH2	2	0	10	2	2	2	2	0	2	4	0	2	0	0	10	0	2	12	6	4	29170	10	2
PANK4	2	2	6	1	4	28	168	113	12	4	6	4	3	970	0	950	74	10	33	293	3721	973	1024
HES5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	448	0	0
LOC115110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1864	0	0
TNFRSF14	25	2	314	0	47	0	363	122	10	7	1	1	0	0	0	2	0	341	47	495	3721	0	2
FAM213B	197	53	1	337	3	1	599	545	132	294	0	0	0	0	0	0	0	251	341	1276	41768	0	0
MMEL1	4	55	12	338	8	4	601	542	136	219	7	0	5	3	2	4	12	71	350	1279	3385	10	16
ACTRT2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	24	0	0
FLJ42875	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	41768	0	2
PRDM16	113	108	350	109	127	34	152	53	64	108	67	41	93	75	84	123	90	571	270	269	16474	252	213
ARHGEF16	57	18	63	6	34	15	313	109	19	76	21	8	56	35	18	44	41	138	55	441	41768	109	85
MEGF6	54	29	139	9	342	13	197	138	23	468	20	14	95	78	56	92	88	222	364	358	3783	229	180
TPRG1L	4	670	4	0	3304	303	407	890	19	886	36	950	221	2	0	128	862	678	3607	1316	3783	223	990
WRAP73	363	0	15	2	2	0	117	55	4	72	4	0	7	9	14	9	8	378	4	176	41736	30	17
TP73	52	11	987	9	800	31	273	10	8	173	9	15	26	13	14	128	20	1050	840	291	530253	53	148
TP73-AS1	49	31334	1036	2	3669	9	692	317	62	59	32	21	33	1	340	1772	116	32419	3680	1071	543245	374	1888
CCDC27	1	2	7	0	2	1	6	3	5	15	1	0	3	5	0	4	4	10	3	14	530787	8	8
LOC388588	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	530612	0	2
LRRC47	1447	1806	10	1364	1257	1346	994	24	35	314	322	481	1980	6196	6	4583	331	3263	3967	1053	7389	8182	4914
CEP104	443	491	16	9	8	725	941	72	90	136	29	111	319	2991	7	25	16	950	742	1103	29175	3317	41
DFFB	2771	11	11	5	29	4	101	4	9	7	10	6	41	9	7	253	8	2793	38	114	29685	57	261
C1orf174	1081	21	11	9344	53	1476	2095	1	37	395	2	2	478	2	2	6	0	1113	10873	2133	29334	482	6
LOC100133612	2	7	107	12	9	3	474	11	9	11	0	10	15	2	19	23	12	116	24	494	29332	36	35
LOC728716	4	0	0	1	44	2	23	10	11	17	13	9	2	2	0	13	0	4	47	44	1095	4	13
LOC284661	103	114	249	15	42	12	9	4	5	12	6	2	273	251	119	65	267	466	69	18	1018	643	332
AJAP1	15	40	129	12	32	10	42	18	21	36	16	21	36	10	11	43	13	184	54	81	7421	57	56
BC037321	2	2	11	0	2	0	0	10	1	2	10	2	4	0	2	4	0	15	2	11	29192	6	4
AK125078	30	32	92	9	100	8	324	17	12	730	11	20	23	17	30	68	42	154	117	353	29192	70	110
NPHP4	171	45	338	21	896	333	891	29	24	260	668	36	621	546	276	1354	535	554	1250	944	638008	1443	1889
KCNAB2	21	30	82	9	39	8	59	17	14	44	20	17	52	33	8	24	23	133	56	90	27740	93	47
CHD5	27	31	46	17	17	2	78	17	15	16	2	8	66	17	33	26	28	104	36	110	27757	116	54
RPL22	7936	16666	18	4051	6535	9298	4832	3492	1002	4849	1061	2885	2621	3480	1689	3129	4520	24620	19884	9326	65051	7790	7649
RNF207	959	523	0	6	2559	4	550	830	6	105	250	4	29	53	0	1	149	1482	2569	1386	65051	82	150
ICMT	855	1024	14	3038	2104	3328	5206	1041	138	3827	3738	19	715	190	7	6331	3451	1893	8470	6385	65051	912	9782
C1orf211	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	18556	1	0
GPR153	4	0	6	0	9	0	790	840	5	9	0	0	3	5	2	1	4	10	9	1635	2833	10	5
ACOT7	32	261	49	4	2687	1777	4342	4271	815	5119	278	626	372	22	690	1595	100	342	4468	9428	5824	1084	1695
HES2	6	2	0	0	13	2	1	2	0	1	5	2	2	0	2	8	9	8	15	3	7	4	17
ESPN	15	1	8	2	7	1	14	8	7	36	4	9	11	3	5	3	4	24	10	29	214	19	7
TNFRSF25	7	0	4	3	2	6	0	390	3	1	0	4	4	6	6	1	4	11	11	393	796	16	5
PLEKHG5	83	29	26	6	45	20	79	790	179	236	52	38	26	241	18	15	21	138	71	1048	16941	285	36
NOL9	1213	1675	16	14	157	1764	718	1437	101	1209	8	24	2218	991	23	4650	400	2904	1935	2256	11706	3232	5050
TAS1R1	10	3	3	1	5	0	13	5	5	27	9	2	5	0	2	47	5	16	6	23	11706	7	52
ZBTB48	0	3	2	58	102	0	817	26	54	871	20	10	15	0	0	6	1	5	160	897	11706	15	7
KLHL21	167	67	1	0	538	444	289	1977	19	520	192	6	91	2	0	0	0	235	982	2285	5839	93	0
PHF13	3	1282	5	3	6	6	152	3	3	306	152	10	31	2	2	4	2	1290	15	158	47	35	6
THAP3	69	4	6	0	4	0	1415	15	508	336	27	5	470	148	2	4	2	79	4	1938	3067	620	6
DNAJC11	156	21	42	274	32	1159	6504	273	520	1510	1160	21	1521	154	73	532	44	219	1465	7297	7198	1748	576
CAMTA1	340	11805	20478	96	2956	2426	2876	988	309	938	233	2368	4717	438	5094	845	575	32623	5478	4173	3759	10249	1420
VAMP3	4589	9526	20	0	557	4812	7050	4330	263	1597	3474	5825	3098	5852	8199	6029	7983	14135	5369	11643	975	17149	14012
PER3	7009	10376	84	13007	25	63	1812	17	27	601	10	335	49	1346	0	17	3	17469	13095	1856	1556	1395	20
UTS2	94	4349	85	13010	18	7	743	7	13	343	18	9	14	1345	5	30	12	4528	13035	763	1344	1364	42
TNFRSF9	12	9	82	7	305	2	463	8	10	27	8	3	13	25	11	12	8	103	314	481	38584	49	20
PARK7	7973	7400	9371	2436	917	5494	2841	829	75	2925	4096	71	8329	16104	3147	3018	6419	24744	8847	3745	7595	27580	9437
AX747125	3264	316	2071	14	771	832	1884	224	17	866	582	49	3761	766	816	32	108	5651	1617	2125	7595	5343	140
ERRFI1	4134	22425	72	10910	4542	11773	40127	5755	2259	6124	11906	1505	1949	3323	689	10	1167	26631	27225	48141	7824	5961	1177
SLC45A1	5	27	5	1	9	6	79	19	0	1	4	0	0	6	10	5	2	37	16	98	2156	16	7
RERE	6713	2258	43697	9221	24728	2702	12500	2696	545	3678	5334	1441	18525	10717	268	2327	1058	52668	36651	15741	2156	29510	3385
BC113958	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	2	0	2156	7	0
ENO1	900	1337	35	640	4310	4765	11437	8091	700	11820	8452	3937	5309	729	5503	2939	912	2272	9715	20228	2156	11541	3851
CA6	9	45	15	4	7	5	13	6	4	3	2	4	5	3	5	12	14	69	16	23	4039	13	26
SLC2A5	35	25	89	21	1182	4	11	7	5	12	4	5	21	13	7	29	7	148	1207	20	6598	41	36
GPR157	4	9	19	7	12	3	15	775	6	8	3	6	5	1	4	11	4	32	22	796	714	10	15
H6PD	230	16	74	50	398	123	242	97	13	340	97	4	46	274	16	43	60	320	571	352	714	336	103
SPSB1	20	117	44	38	86	10	2105	391	192	308	616	15	434	143	223	1857	155	181	134	2688	776	800	2012
SLC25A33	453	786	320	97	1365	372	1059	568	906	650	427	764	430	590	230	413	259	1559	1834	2533	776	1250	672
TMEM201	557	1	23	2	16	2	2985	2	1	482	3	3	2	10	2	4	142	581	20	2988	4058	14	146
PIK3CD	74	388	46	6	27	67	1894	265	12	316	932	64	41	3153	11	1671	759	508	100	2171	24786	3205	2430
C1orf200	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	795	0	0
CLSTN1	1334	5893	3941	8824	3881	1175	5728	3236	261	4943	1483	621	700	1068	167	11720	3514	11168	13880	9225	11130	1935	15234
CTNNBIP1	76	610	108	25	1322	465	1736	1142	7	100	16	11	14	9	229	23	11	794	1812	2885	26370	252	34
LZIC	2	8	2	2	9	1620	175	39	16	301	6	4910	364	3	1	7	29	12	1631	230	1196	368	36
NMNAT1	37	17015	50	26	55	1120	1431	155	46	56	18	18	25	28	20	46	49	17102	1201	1632	37	73	95
RBP7	6	7	7	2	10	3	9	2	4	5	0	1	23	2	5	2	2	20	15	15	1196	30	4
UBE4B	1447	4106	2604	100	3797	5932	6374	817	265	814	650	365	4253	3930	484	14257	1760	8157	9829	7456	3255	8667	16017
KIF1B	241	12372	109	212	340	4369	7171	4928	161	1811	1848	2503	9671	412	1332	12347	856	12722	4921	12260	7973	11415	13203
PGD	1491	2545	11	4792	521	1310	1763	629	730	3225	1310	12	2813	1053	377	10	1496	4047	6623	3122	3037	4243	1506
APITD1	26	72	6	3	3	156	278	12	2	217	3	9	9	902	0	60	13	104	162	292	742	911	73
APITD1-CORT	26	74	12	3	6	157	285	13	2	221	3	10	11	902	3	63	17	112	166	300	12810	916	80
CORT	0	0	0	0	0	7	1	0	0	0	0	0	1	0	2	0	2	0	7	1	11	3	2
DFFA	12	1120	2	0	12	303	281	1190	3	389	4	2	256	1696	2	7	4	1134	315	1474	995	1954	11
PEX14	45	1208	122	14	1143	129	2991	1332	27	82	42	53	1568	1531	22	10611	796	1375	1286	4350	1275	3121	11407
CASZ1	41	519	169	11	34	520	85	312	25	905	235	37	759	58	34	76	64	729	565	422	4262	851	140
C1orf127	6	15	12	1	10	9	18	3	4	12	1	0	11	12	4	17	5	33	20	25	752	27	22
TARDBP	14283	11312	3233	2610	18877	22127	6927	3531	1370	745	802	5174	21644	7549	42944	20581	8332	28828	43614	11828	752	72137	28913
MASP2	7	31	14	1227	50	111	75	12	3	25	2	6	4	497	3	1918	113	52	1388	90	9090	504	2031
SRM	1689	8191	8	29	2687	2509	6989	1399	2641	3436	8466	1507	71	2409	6798	3239	875	9888	5225	11029	9208	9278	4114
EXOSC10	821	4138	36	8150	11393	8633	3205	4131	298	1173	687	8898	5632	2841	12	83	11984	4995	28176	7634	713	8485	12067
MTOR	5583	4522	164	358	2355	2166	7637	3626	87	2783	3556	44	776	2207	861	15440	1257	10269	4879	11350	401	3844	16697
ANGPTL7	0	1	4	0	0	0	0	0	2	3	1	2	2	0	0	0	2	5	0	2	743	2	2
UBIAD1	3738	132	1046	2	49	654	433	1473	419	1362	2851	36	2045	16	2	46	3	4916	705	2325	743	2063	49
PTCHD2	13	155	27	5	18	4	17	6	5	24	17	6	51	14	1	14	5	195	27	28	1936	66	19
FBXO2	3	0	2	0	2	0	2	21	2	34	0	0	2	0	0	4	3	5	2	25	215	2	7
FBXO44	4	3	4	1885	8	0	102	968	2	0	0	0	0	0	0	2	5	11	1893	1072	9917	0	7
FBXO6	3	2	5	0	9	3	120	413	2	5	0	2	4	1	0	1	1	10	12	535	9917	5	2
MAD2L2	48	919	16	5	13	599	1041	13	17	152	414	16	16	15	25	727	62	983	617	1071	10903	56	789
C1orf187	14	20	107	0	16	1	8	4	10	15	2	2	54	22	21	57	20	141	17	22	10903	97	77
AK125437	3	1	2	0	1	1	1	0	1	0	0	0	0	0	2	0	0	6	2	2	10903	2	0
AGTRAP	11	5	8	0	2	0	223	383	6	46	0	2	2	0	63	1	0	24	2	612	10903	65	1
C1orf167	17	14	9	0	3	0	427	749	1	8	1	4	11	6	4	7	11	40	3	1177	2371	21	18
MTHFR	7	3	6	2	239	0	527	1130	2	9	1	1	4	2	205	3	4	16	241	1659	98	211	7
CLCN6	290	6	77	2	325	3133	1520	215	350	14	6	6	1794	8	14	5057	316	373	3460	2085	469	1816	5373
NPPA	11	0	2	0	28	94	2	0	0	2	0	0	19	0	0	0	0	13	122	2	502	19	0
NPPB	11	0	4	0	28	94	0	0	1	0	1	0	0	0	0	0	0	15	122	1	16	0	0
KIAA2013	796	185	10	6	606	1247	1112	5850	62	238	158	1203	2206	232	4	3088	2896	991	1859	7024	23	2442	5984
PLOD1	66	3022	23	26	51	910	288	4455	219	1650	4812	13	172	9	8	15	7	3111	987	4962	23	189	22
MFN2	9971	966	442	264	244	16156	7406	5934	949	2179	1075	11113	3694	915	141	487	296	11379	16664	14289	23	4750	783
MIIP	12	2	10	2	35	95	195	131	134	6	1198	3	710	2	2	108	3	24	132	460	23	714	111
TNFRSF8	26	39	173	13	98	110	95	44	13	32	40	41	29	16	14	36	23	238	221	152	23	59	59
TNFRSF1B	17	10	2241	1035	11	201	227	628	2	830	6	2	7	23	1	72	8	2268	1247	857	2712	31	80
VPS13D	1996	759	7416	1003	2652	3445	4738	2635	61	1024	211	50	5324	520	38	2500	236	10171	7100	7434	964	5882	2736
SNORA59B	2	0	38	13	14	0	0	0	0	0	0	0	0	3	0	5	0	40	27	0	962	3	5
DHRS3	14	119	28	4	32	51	17	3	5	15	12	5	8	6	8	7	11	161	87	25	962	22	18
AADACL4	14	23	13	1	22	5	128	41	20	69	42	42	6	0	7	19	9	50	28	189	65	13	28
AADACL3	5	3	6	2	14	0	4	0	0	1	0	3	2	0	0	0	1	14	16	4	65	2	1
C1orf158	6	0	2	3	17	2	5	4	0	3	0	0	0	2	1	1	1	8	22	9	65	3	2
PRAMEF12	2	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	34	2	14	0	6007	0	34
PRAMEF1	2	0	0	0	15	0	0	2	2	4	0	0	0	4	0	0	35	2	15	4	6023	4	35
PRAMEF11	3	0	0	0	19	0	6	0	0	3	0	0	1	0	0	0	34	3	19	6	6023	1	34
PRAMEF2	4	0	0	0	15	0	0	0	0	2	1	0	0	2	0	0	34	4	15	0	316	2	34
PRAMEF4	2	0	0	0	3	0	5	2	0	3	0	1	0	0	0	1	0	2	3	7	316	0	1
PRAMEF10	6	2	2	8	3	0	0	0	0	2	0	2	0	0	2	0	2	10	11	0	1957	2	2
PRAMEF8	6	0	4	8	4	0	0	0	0	4	2	0	0	0	2	0	0	10	12	0	946	2	0
PRAMEF6	4	3	2	2	12	0	12	1	3	3	3	3	3	0	0	2	1	7	14	16	544	3	3
PRAMEF5	16	27	16	5	34	4	67	7	12	27	14	14	12	5	1	15	4	59	43	86	400	18	19
PRAMEF22	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	8670	2	0
PRAMEF9	6	0	2	8	8	0	3	2	0	3	0	1	0	1	2	1	0	8	16	5	2549	3	1
PRAMEF16	6	0	2	0	2	2	0	0	2	4	0	0	2	0	2	2	0	8	4	2	946	4	2
LRRC38	6	8	14	6	10	1	29	0	3	3	4	2	4	5	5	8	2	28	17	32	10453	14	10
PDPN	2	3	23	1	10	2	9	4	4	10	2	0	3	5	5	4	8	28	13	17	10453	13	12
PRDM2	6683	2372	1013	2799	6359	5947	4158	2844	84	1228	567	32	7015	234	19	6515	362	10068	15105	7086	7047	7268	6877
AK124197	0	2	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	2	0	3	127	0	0
KAZN	28757	90800	403	55	24781	62	6328	399	245	2308	269	269	1023	600	585	2381	729	119960	24898	6972	11395	2208	3110
C1orf126	10	11	22	5	23	4	65	15	26	31	18	38	319	7	7	18	1	43	32	106	4410	333	19
TMEM51	2572	11	19	3	168	237	793	1670	139	303	174	6	2910	272	11	25	5	2602	408	2602	6122	3193	30
FHAD1	185	102	190	20	252	104	166	72	46	330	160	71	174	148	60	101	86	477	376	284	6162	382	187
AK055853	0	4	4	1	4	2	18	2	2	4	4	4	4	2	0	3	0	8	7	22	89	6	3
EFHD2	1609	17	33	269	249	1725	7693	245	167	1254	682	5	16	42	1335	1047	27062	1659	2243	8105	177	1393	28109
CTRC	2	1	3	0	3	0	2	1	3	1	0	2	0	0	0	0	0	6	3	6	670	0	0
CELA2A	5	7	6	6	4	2	15	8	4	12	8	16	4	5	12	3	14	18	12	27	1177	21	17
CELA2B	27	34	328	14	4	6	36	9	24	10	6	8	5	3	1	7	2	389	24	69	789	9	9
CASP9	2	1249	17	0	5	7	118	30	5	51	21	7	6	6	1	267	25	1268	12	152	10758	13	292
DNAJC16	200	977	38	5	909	1007	857	2738	24	2661	735	44	559	1573	7	22	26	1213	1917	3619	10758	2137	48
AGMAT	8	3	3	0	111	1	15	3	4	1474	9	1	10	1	1	4	0	14	112	22	48	12	4
DDI2	1670	93	32	5	13	738	1312	99	61	99	3841	13	6954	4687	2	25	11	1795	756	1472	48	11643	36
DQ573015	0	10	2	0	1	153	490	63	16	52	0	0	1913	229	95	6	15	12	154	569	48	2237	21
SLC25A34	2	6	10	4	10	0	2	1	1	0	0	0	0	2	0	4	15	18	14	4	14367	2	19
TMEM82	5	1	0	0	14	0	9	0	0	3	0	0	1	0	0	3	16	6	14	9	14367	1	19
FBLIM1	11	55	16	2	34	3	1003	8	132	77	4	12	44	1779	4	18	20	82	39	1143	1285	1827	38
FLJ37453	114	5	10	0	6	2	5	15	1	14	0	1	4	0	1	8	20	129	8	21	1285	5	28
SPEN	6635	14205	973	3673	4679	4105	8721	2553	516	1889	163	2563	8218	5665	2590	11051	732	21813	12457	11790	1048	16473	11783
ZBTB17	2	3	12	8	3585	4	945	92	7	1369	6	14	6	8	1	9	20	17	3597	1044	561	15	29
DQ576383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	153	0	16
C1orf64	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	16	1	1	0	55	2	16
HSPB7	0	2	4	0	0	2	0	0	0	0	2	0	0	0	0	2	17	6	2	0	2736	0	19
CLCNKA	155	62	465	22	110	74	86	30	28	215	94	60	267	173	94	122	140	682	206	144	2846	534	262
CLCNKB	3	9	16	1	2	2	0	5	2	9	4	6	2	4	4	13	15	28	4	7	3855	10	28
FAM131C	20	16	203	0	33	0	12	4	9	9	6	4	186	142	62	155	182	239	33	25	733	390	337
EPHA2	1286	4751	28	3337	2613	2454	2813	1376	145	3429	3215	1072	2652	1454	711	18	24	6065	8404	4334	1978	4817	42
ARHGEF19	0	107	2	6	1	0	13	1761	3	34	0	1	0	0	4	0	5	109	7	1777	1978	4	5
