gene	T1a	T1b	T2	T3	N1	N2
Gene_00052	49	6	95	0	32	30
Gene_00053	936	1414	3124	3228	1798	835
Gene_00054	190	73	438	146	162	432
Gene_00055	10	9	11	0	0	2
Gene_00056	556	467	1486	1167	1722	504
Gene_00057	8	9	53	55	37	79
Gene_00058	36	26	163	118	81	40
Gene_00059	2	0	8	0	0	1
Gene_00060	0	0	0	0	0	1
Gene_00061	81	71	134	191	231	223
Gene_00062	321	250	3	0	0	0
Gene_00063	19	6	18	3	21	39
Gene_00064	0	0	0	0	0	1
Gene_00065	0	2	0	0	0	0
Gene_00066	8	27	41	7	5	6
Gene_00067	4211	3953	572	3659	5837	1625
Gene_00068	51	118	15	69	11	11
Gene_00069	50	35	0	5	0	1
Gene_00070	9	4	12	7	0	12
Gene_00071	41	21	122	103	0	17
Gene_00072	0	0	0	0	5	11
Gene_00073	4	2	12	46	19	26
Gene_00074	1	0	3	6	0	0
Gene_00075	8	4	19	0	20	4
Gene_00076	99	80	179	116	651	91
Gene_00077	1	1	0	1	0	1
Gene_00078	4	3	8	1	12	15
Gene_00079	36	46	78	51	74	38
Gene_00080	7	7	71	300	256	11
Gene_00081	13	7	15	13	14	4
Gene_00082	24	37	74	121	161	58
Gene_00083	168	187	401	200	695	254
Gene_00084	83	19	46	8	35	53
Gene_00085	209	190	269	69	184	167
Gene_00086	0	0	0	8	0	0
Gene_00087	243	196	288	614	385	196
Gene_00088	0	0	1	0	0	0
Gene_00089	318	324	27	292	0	2
Gene_00090	14	16	0	0	1	2
Gene_00091	0	2	3	0	11	4
Gene_00092	4	14	23	43	29	12
Gene_00093	1	0	1	0	0	3
Gene_00094	0	1	3	1	0	0
Gene_00095	244	106	558	395	574	458
Gene_00096	18	9	17	8	16	6
Gene_00097	2	6	130	48	99	47
Gene_00098	33	6	95	8	27	25
Gene_00099	103	158	236	215	127	124
Gene_00100	0	0	1	0	0	1
Gene_00101	59	78	237	137	307	75
Gene_00102	1820	1035	5927	4794	3101	3417
Gene_00103	9	15	5	24	40	21
Gene_00104	115	92	208	66	149	72
Gene_00105	67	40	60	59	129	90
Gene_00106	1057	981	3004	3671	1332	818
Gene_00107	1	2	134	33	44	25
Gene_00108	2	0	7	3	8	6
Gene_00109	0	0	1	0	0	1
Gene_00110	11	6	6	1	14	9
Gene_00111	0	1	0	0	0	0
Gene_00112	20	35	143	78	73	33
Gene_00113	0	0	1	1	1	0
Gene_00114	55	46	211	49	43	21
Gene_00115	63	30	239	115	68	38
Gene_00116	56	52	108	23	46	62
Gene_00117	0	1	2	0	31	3
Gene_00118	15	10	273	109	13	15
Gene_00119	1	0	13	1	0	1
Gene_00120	122	151	160	85	76	51
Gene_00121	22	20	50	0	31	52
Gene_00122	39	36	374	181	96	116
Gene_00123	0	0	159	152	0	1
Gene_00124	36	24	4	2	0	10
Gene_00125	10	4	9	3	4	4
Gene_00126	2	0	6	2	0	3
Gene_00127	274	238	253	317	1240	436
Gene_00128	493	433	655	468	980	403
Gene_00129	1467	1051	869	240	1328	550
Gene_00130	10	8	17	2	10	14
Gene_00131	1089	907	8655	6321	2424	1666
Gene_00132	183	270	271	244	343	88
Gene_00133	24	29	55	44	61	47
Gene_00134	54	70	770	226	61	41
Gene_00135	114	84	241	33	39	63
Gene_00136	15	11	53	27	50	10
Gene_00137	256	180	146	276	521	210
Gene_00138	1	1	0	0	0	0
Gene_00139	3	2	5	0	0	1
Gene_00140	4	4	0	19	6	3
Gene_00141	12	10	66	12	13	19
Gene_00142	99	102	1	45	596	49
Gene_00143	0	1	2	1	0	5
Gene_00144	21	18	136	128	41	24
Gene_00145	78	113	405	218	164	168
Gene_00146	2	0	3	0	0	1
Gene_00147	2	3	1	0	0	1
Gene_00148	0	2	1	0	0	5
Gene_00149	0	1	7	3	2	2
Gene_00150	6545	5360	1442	3782	2771	185
Gene_00151	213	85	79	53	158	100
Gene_00152	1	0	0	0	0	0
Gene_00153	415	619	160	422	858	67
Gene_00154	78	102	397	207	108	93
Gene_00155	2	1	5	0	2	0
Gene_00156	4	7	279	7	0	7
Gene_00157	0	0	3	0	3	0
Gene_00158	6	9	12	34	19	6
Gene_00159	1	5	3	3	0	3
Gene_00160	208	202	215	393	188	335
Gene_00161	142	63	210	326	0	8
Gene_00162	38	13	53	80	15	50
Gene_00163	20	14	13	42	21	11
Gene_00164	100	50	193	21	89	124
Gene_00165	0	0	0	1	8	1
Gene_00166	10	8	11	21	41	34
Gene_00167	1	1	7	13	3	3
Gene_00168	0	2	2	1	4	0
Gene_00169	1	12	0	3	0	0
Gene_00170	207	311	876	1389	1553	476
Gene_00171	1	0	1	27	1	1
Gene_00172	141	133	342	573	497	301
Gene_00173	0	0	2	0	0	0
Gene_00174	108	134	212	24	247	67
Gene_00175	2	0	1	23	8	2
Gene_00176	1	0	0	0	0	3
Gene_00177	0	0	1	0	0	0
Gene_00178	4	0	1	5	6	0
Gene_00179	125	92	610	366	160	53
Gene_00180	15	23	27	9	14	13
Gene_00181	6	6	5	12	9	5
Gene_00182	12	16	19	57	26	31
Gene_00183	195	147	258	49	174	115
Gene_00184	82	84	1421	390	567	252
Gene_00185	9	12	16	10	27	13
Gene_00186	66	67	79	41	102	68
Gene_00187	88	34	87	14	93	43
Gene_00188	8	10	30	4	0	17
Gene_00189	19	5	38	35	77	62
Gene_00190	50	20	2	0	2	8
Gene_00191	47	22	88	33	38	14
Gene_00192	0	1	1	1	0	0
Gene_00193	13	2	20	3	4	5
Gene_00194	49	25	20	2	0	12
Gene_00195	0	0	3	14	0	2
Gene_00196	0	0	29	24	0	1
Gene_00197	1	2	6	0	8	2
Gene_00198	312	204	325	339	869	371
Gene_00199	157	109	332	61	156	99
Gene_00200	5	10	0	27	9	19
Gene_00201	78	55	171	71	56	86
Gene_00202	2	2	7	4	3	2
Gene_00203	716	1114	2215	1152	2519	445
Gene_00204	95	106	192	207	201	100
Gene_00205	153	65	182	546	120	347
Gene_00206	223	283	661	311	513	221
Gene_00207	464	346	482	289	474	340
Gene_00208	16	19	27	22	25	39
Gene_00209	29	11	72	37	70	50
Gene_00210	0	0	9	0	0	0
Gene_00211	199	143	181	80	327	125
Gene_00212	0	0	3	0	0	1
Gene_00213	0	0	2	0	0	0
Gene_00214	3	2	0	2	0	3
Gene_00215	104	114	504	44	69	76
Gene_00216	15	12	44	80	45	21
Gene_00217	563	450	1009	1261	1496	439
Gene_00218	0	0	1	0	0	0
Gene_00219	12438	12100	86	3126	9481	1259
Gene_00220	43	47	3	17	49	44
Gene_00221	24	10	20	4	11	43
Gene_00222	0	0	2	48	0	0
Gene_00223	45	32	79	25	10	71
Gene_00224	282	323	600	710	559	348
Gene_00225	211	191	65	65	291	155
Gene_00226	140	162	647	103	393	156
Gene_00227	2	4	1	0	0	0
Gene_00228	73	49	147	249	214	54
Gene_00229	73	62	339	167	272	195
Gene_00230	69	58	21	77	55	55
Gene_00231	145	81	33	22	46	92
Gene_00232	28	30	5	14	74	15
Gene_00233	11	7	68	15	85	36
Gene_00234	23	21	6	78	0	3
Gene_00235	1204	1208	328	94	597	139
Gene_00236	2	0	11	0	0	1
Gene_00237	512	304	413	284	149	144
Gene_00238	2450	2078	6493	8718	5298	6354
Gene_00239	105	67	115	162	118	94
Gene_00240	234	176	259	148	110	65
Gene_00241	12	11	45	54	23	20
Gene_00242	11	7	13	2	10	1
Gene_00243	68	45	54	124	229	111
Gene_00244	238	369	230	364	565	140
Gene_00245	3	8	41	3	21	5
Gene_00246	19	21	12	15	32	42
Gene_00247	24	8	11	9	2	16
Gene_00248	20	10	88	19	14	12
Gene_00249	0	0	6	0	0	0
Gene_00250	3	1	3	2	0	0
Gene_00251	7	2	23	1	17	5
Gene_00252	2	0	8	0	0	3
Gene_00253	0	0	19	5	1	0
Gene_00254	16	7	179	24	22	38
Gene_00255	56	41	193	392	226	62
Gene_00256	182	122	572	373	617	304
Gene_00257	17	11	33	6	6	1
Gene_00258	0	0	1	0	0	4
Gene_00259	1	2	0	9	3	0
Gene_00260	78	102	840	193	380	117
Gene_00261	17	12	39	49	55	20
Gene_00262	1	1	11	0	7	6
Gene_00263	2	2	3	0	0	0
Gene_00264	69	44	50	28	97	118
Gene_00265	117	86	204	297	185	59
Gene_00266	7	5	7	70	1	17
Gene_00267	0	0	0	1	0	1
Gene_00268	107	106	320	121	338	130
Gene_00269	1	0	6	1	0	1
Gene_00270	84	98	181	50	262	154
Gene_00271	4	0	25	156	7	20
Gene_00272	17	2	14	0	0	23
Gene_00273	37	35	45	66	14	14
Gene_00274	17	9	0	0	0	0
Gene_00275	144	115	844	503	369	222
Gene_00276	149	113	262	240	412	150
Gene_00277	193	57	111	56	155	201
Gene_00278	0	0	3	0	1	2
Gene_00279	84	66	124	91	180	71
Gene_00280	70	47	65	64	35	42
Gene_00281	281	94	2	8	0	5
Gene_00282	7	5	89	43	15	20
Gene_00283	2386	2037	6339	8582	5115	6238
Gene_00284	102	73	302	132	115	174
Gene_00285	6	12	1	1	10	12
Gene_00286	259	295	235	544	202	112
Gene_00287	62	66	204	300	205	71
Gene_00288	1102	1176	3502	5600	4568	1139
Gene_00289	25	14	42	4	2	6
Gene_00290	0	0	0	0	0	1
Gene_00291	16	0	29	0	0	1
Gene_00292	38	21	7	0	43	34
Gene_00293	26	20	29	0	23	7
Gene_00294	0	0	0	8	1	0
Gene_00295	112	146	494	342	252	279
Gene_00296	6	1	67	10	9	11
Gene_00297	28	21	166	33	18	9
Gene_00298	680	611	784	440	1657	797
Gene_00299	174	115	84	145	263	54
Gene_00300	32	18	64	28	33	29
Gene_00301	0	0	3	4	0	14
Gene_00302	26	17	47	26	45	59
Gene_00303	3	0	0	0	1	30
Gene_00304	4	1	8	0	0	9
Gene_00305	0	0	0	1	0	0
Gene_00306	0	1	0	0	0	0
Gene_00307	54	64	79	21	58	41
Gene_00308	954	850	2097	1026	1342	959
Gene_00309	4	0	3	4	0	2
Gene_00310	6	6	13	3	10	9
Gene_00311	487	221	265	39	380	279
Gene_00312	151	157	183	341	274	101
Gene_00313	39	28	211	80	254	76
Gene_00314	0	0	0	3	2	1
Gene_00315	2	1	0	0	0	0
Gene_00316	53	34	252	80	85	29
Gene_00317	25	48	6	37	0	0
Gene_00318	7	1	9	14	8	8
Gene_00319	20	1	39	0	5	4
Gene_00320	17	17	1	15	31	0
Gene_00321	41	7	43	146	66	57
Gene_00322	8	10	42	21	15	14
Gene_00323	91	68	258	164	44	54
Gene_00324	86	54	82	56	318	158
Gene_00325	6	8	7	3	0	1
Gene_00326	175	140	467	233	241	412
Gene_00327	208	215	110	568	474	92
Gene_00328	48	30	244	177	246	82
Gene_00329	11	6	9	28	3	3
Gene_00330	0	0	2	0	0	0
Gene_00331	148	99	1046	473	390	218
Gene_00332	7	5	93	28	44	27
Gene_00333	1	0	0	1	0	1
Gene_00334	1	0	38	109	104	17
Gene_00335	112	53	36	1	43	19
Gene_00336	69	77	230	63	239	91
Gene_00337	0	0	0	0	0	8
Gene_00338	0	0	0	0	0	1
Gene_00339	60	25	10	5	22	50
Gene_00340	369	416	1138	650	577	233
Gene_00341	74	64	139	100	142	140
Gene_00342	0	0	2	0	0	0
Gene_00343	0	0	103	0	0	0
Gene_00344	17	15	23	38	28	6
Gene_00345	6	6	15	6	12	4
Gene_00346	2	2	12	4	2	10
Gene_00347	401	405	1734	1917	1663	643
Gene_00348	9	11	45	16	39	19
Gene_00349	68	68	156	78	116	94
Gene_00350	0	0	0	6	0	0
Gene_00351	109	97	119	53	70	85
Gene_00352	117	80	223	192	203	132
Gene_00353	20	6	12	7	16	43
Gene_00354	0	1	1	0	0	0
Gene_00355	77	57	178	312	79	86
Gene_00356	0	1	0	0	0	0
Gene_00357	2	0	4	0	8	6
Gene_00358	229	134	630	255	405	239
Gene_00359	72	103	524	525	360	154
Gene_00360	126	45	531	49	105	51
Gene_00361	290	146	274	107	313	116
Gene_00362	421	559	2466	827	1848	949
Gene_00363	21	11	36	43	41	12
Gene_00364	134	62	126	46	98	77
Gene_00365	20	27	75	54	47	33
Gene_00366	0	0	0	0	0	1
Gene_00367	2774	2579	4870	5716	4622	3204
Gene_00368	192	92	246	3	70	11
Gene_00369	1109	1254	0	32	784	194
Gene_00370	1	0	5	2	6	0
Gene_00371	0	1	29	0	0	2
Gene_00372	78	27	194	18	129	45
Gene_00373	99	64	78	23	5	28
Gene_00374	28	39	24	126	55	33
Gene_00375	37	19	69	77	58	73
Gene_00376	85	73	417	153	335	236
Gene_00377	89	115	229	415	209	126
Gene_00378	35	38	37	72	24	31
Gene_00379	92	87	311	640	438	171
Gene_00380	46	27	158	6	41	28
Gene_00381	20	9	51	69	29	15
Gene_00382	30	21	59	99	212	25
Gene_00383	5	26	4	6	56	62
Gene_00384	84	63	223	145	106	112
Gene_00385	0	0	0	0	0	87
Gene_00386	18	25	270	29	72	72
Gene_00387	105	88	236	79	154	142
Gene_00388	13	8	20	18	22	7
Gene_00389	138	94	169	79	192	79
Gene_00390	38	40	73	231	64	12
Gene_00391	124	161	209	202	119	143
Gene_00392	81	100	183	72	282	185
Gene_00393	245	62	14	27	14	30
Gene_00394	0	1	0	0	0	0
Gene_00395	54	32	434	82	109	66
Gene_00396	3	0	0	0	0	0
Gene_00397	44	62	118	101	35	59
Gene_00398	0	0	1	0	0	0
Gene_00399	14	4	5	7	1	4
Gene_00400	222	145	81	86	17	22
Gene_00401	6	11	8	24	63	40
Gene_00402	7	4	23	20	0	9
Gene_00403	3	1	7	0	5	1
Gene_00404	0	0	3	0	0	0
Gene_00405	28	44	111	52	77	37
Gene_00406	20	22	94	69	19	22
Gene_00407	0	0	2	0	0	0
Gene_00408	4	0	1	0	1	0
Gene_00409	383	191	1422	1135	743	1052
Gene_00410	1	2	68	29	5	2
Gene_00411	1	0	2	0	0	2
Gene_00412	0	3	0	0	0	1
Gene_00413	31	46	139	47	47	57
Gene_00414	75	74	222	458	215	167
Gene_00415	133	97	151	400	94	230
Gene_00416	8	4	21	3	2	5
Gene_00417	25	57	157	281	64	40
Gene_00418	109	88	415	336	210	75
Gene_00419	1	2	2	0	2	2
Gene_00420	0	0	0	0	0	1
Gene_00421	1	2	3	27	0	10
Gene_00422	104	39	336	48	152	204
Gene_00423	9	1	8	0	15	23
Gene_00424	1819	1036	5943	4846	3090	3424
Gene_00425	376	308	1727	1139	734	925
Gene_00426	893	696	2069	2149	2490	2023
Gene_00427	4	0	12	0	3	12
Gene_00428	0	0	1	2	0	0
Gene_00429	2	0	0	36	279	206
Gene_00430	22	72	1	0	6	0
Gene_00431	18	70	52	87	398	16
Gene_00432	9	12	43	6	37	5
Gene_00433	34	22	54	50	49	88
Gene_00434	12	7	13	11	26	8
Gene_00435	38	42	96	115	236	72
Gene_00436	32	23	55	13	422	63
Gene_00437	23	10	0	0	278	206
Gene_00438	0	1	0	0	25	215
Gene_00439	59	69	205	65	143	94
Gene_00440	322	196	557	808	1109	898
Gene_00441	15	3	69	51	8	28
Gene_00442	9	0	11	7	20	33
Gene_00443	0	0	0	0	0	1
Gene_00444	113	132	223	343	495	145
Gene_00445	4	9	20	18	78	24
Gene_00446	25	26	94	60	72	38
Gene_00447	48	1	663	1	0	0
Gene_00448	52	32	44	31	18	25
Gene_00449	103	83	414	256	611	515
Gene_00450	11	16	9	32	11	29
Gene_00451	618	481	1231	2886	292	229
Gene_00452	77	43	235	107	57	184
Gene_00453	0	0	10	70	16	15
Gene_00454	92	71	67	41	316	157
Gene_00455	0	0	5	0	0	0
Gene_00456	4	3	0	0	0	1
Gene_00457	84	62	53	4	92	123
Gene_00458	2	0	56	213	52	40
Gene_00459	1	1	3	3	2	1
Gene_00460	275	210	729	788	1216	589
Gene_00461	143	82	33	84	18	15
Gene_00462	0	0	1	0	0	0
Gene_00463	23	40	36	53	11	4
Gene_00464	51	24	131	92	49	91
Gene_00465	24	11	136	10	18	37
Gene_00466	14	5	49	52	51	73
Gene_00467	155	20	185	19	89	133
Gene_00468	5	28	7	8	14	15
Gene_00469	0	0	0	0	0	3
Gene_00470	77	128	292	80	319	119
Gene_00471	59	67	60	40	196	74
Gene_00472	15	12	34	2	16	47
Gene_00473	53	77	139	247	256	136
Gene_00474	1	0	0	0	0	1
Gene_00475	205	424	592	581	627	141
Gene_00476	1	0	15	10	8	3
Gene_00477	0	0	3	0	0	0
Gene_00478	10	1	98	17	0	111
Gene_00479	0	0	4	0	0	0
Gene_00480	97	128	56	29	100	22
Gene_00481	9	17	21	2	40	10
Gene_00482	2	4	1	7	9	18
Gene_00483	100	193	563	509	429	106
Gene_00484	2	0	4	0	14	4
Gene_00485	26	8	51	15	33	32
Gene_00486	4	2	111	28	1	7
Gene_00487	6	2	5	4	10	3
Gene_00488	0	2	1	0	0	1
Gene_00489	205	169	275	84	166	180
Gene_00490	47	34	209	192	345	266
Gene_00491	1418	832	1274	1977	2827	3082
Gene_00492	40	34	521	494	213	118
Gene_00493	1289	1249	1333	752	3243	783
Gene_00494	3460	3496	13708	4549	4319	2568
Gene_00495	0	0	2	9	0	3
Gene_00496	781	495	486	682	639	294
Gene_00497	8	8	23	10	13	5
Gene_00498	44	27	126	81	39	41
Gene_00499	27	10	63	169	67	37
Gene_00500	0	0	0	0	0	1
Gene_00501	117	84	148	472	656	157
Gene_00502	50	61	66	12	95	59
Gene_00503	65	26	122	65	178	38
Gene_00504	23	50	101	66	50	77
Gene_00505	25	32	127	60	53	69
Gene_00506	0	0	0	0	1	0
Gene_00507	139	201	123	162	294	192
Gene_00508	519	265	7	125	4	11
Gene_00509	3539	2865	4132	7618	8142	3394
Gene_00510	287	147	162	286	282	309
Gene_00511	2	6	10	67	62	68
Gene_00512	0	0	0	0	0	2
Gene_00513	14	17	35	102	46	20
Gene_00514	149	101	161	191	125	190
Gene_00515	0	0	0	0	0	15
Gene_00516	112	63	162	293	127	68
Gene_00517	2	2	46	6	2	9
Gene_00518	68	20	92	84	38	14
Gene_00519	4	0	1	0	0	2
Gene_00520	42	29	43	16	63	44
Gene_00521	1	0	1	9	1	5
Gene_00522	152	146	202	226	397	81
Gene_00523	104	75	206	59	18	53
Gene_00524	262	273	366	720	958	238
Gene_00525	679	481	1320	1784	1354	1526
Gene_00526	2	0	3	10	2	1
Gene_00527	42	2	60	24	52	26
Gene_00528	2	2	10	14	22	3
Gene_00529	135	110	165	135	57	125
Gene_00530	115	49	141	60	148	183
Gene_00531	1360	1243	1999	2081	2408	1136
Gene_00532	0	0	1	0	0	0
Gene_00533	8	8	18	15	12	8
Gene_00534	0	0	0	0	0	2
Gene_00535	6	7	8	1	0	13
Gene_00536	1108	1013	346	429	1710	544
Gene_00537	569	377	1550	1441	1291	914
Gene_00538	82	47	378	222	1296	620
Gene_00539	19	32	18	22	29	13
Gene_00540	0	0	3	0	0	0
Gene_00541	225	126	917	320	186	177
Gene_00542	3	0	9	0	0	3
Gene_00543	81	54	119	84	211	68
Gene_00544	16	21	115	104	18	61
Gene_00545	54	71	184	173	160	77
Gene_00546	70	60	223	547	153	196
Gene_00547	1465	916	3799	4144	2757	2716
Gene_00548	33	26	75	43	115	56
Gene_00549	5	8	104	2	0	3
Gene_00550	2	6	3	10	14	7
Gene_00551	62	17	16	1	80	105
Gene_00552	149	167	123	576	454	52
Gene_00553	0	0	6	0	0	1
Gene_00554	38	40	103	89	36	44
Gene_00555	116	114	281	107	355	107
Gene_00556	27	17	87	164	94	110
Gene_00557	0	0	3	0	0	1
Gene_00558	26	2	7	1	7	12
Gene_00559	10	6	2	0	72	39
Gene_00560	634	594	2171	1325	2551	904
Gene_00561	4	5	26	0	3	5
Gene_00562	32314	29693	66140	17973	47994	30878
Gene_00563	4	17	28	4	16	21
Gene_00564	27	18	1	0	1	0
Gene_00565	92	67	334	47	111	129
Gene_00566	3	1	10	3	0	2
Gene_00567	0	1	0	0	0	3
Gene_00568	42	13	194	104	199	145
Gene_00569	338	185	982	647	819	566
Gene_00570	5	2	5	8	7	22
Gene_00571	33	22	10	41	58	88
Gene_00572	1	0	14	4	7	2
Gene_00573	0	3	1	3	0	0
Gene_00574	3	0	84	164	43	17
Gene_00575	4	1	5	0	3	0
Gene_00576	17	11	23	0	19	21
Gene_00577	101	49	162	32	123	102
Gene_00578	14	4	62	40	13	8
Gene_00579	106	72	328	286	356	144
Gene_00580	0	0	1	0	0	0
Gene_00581	134	91	504	155	595	676
Gene_00582	15	6	15	11	34	23
Gene_00583	122	342	612	224	468	160
Gene_00584	164	158	285	23	148	107
Gene_00585	50	49	397	726	92	89
Gene_00586	37	8	64	1	49	4
Gene_00587	1	0	0	5	0	2
Gene_00588	1	0	2	0	0	2
Gene_00589	120	144	546	488	272	165
Gene_00590	5	2	7	18	0	3
Gene_00591	5	7	3	21	23	8
Gene_00592	98	60	258	220	290	116
Gene_00593	0	0	0	0	0	1
Gene_00594	0	0	1	0	0	0
Gene_00595	0	0	2	1	1	7
Gene_00596	66	98	356	383	401	139
Gene_00597	0	0	44	31	10	5
Gene_00598	0	0	0	0	1	0
Gene_00599	83	54	254	173	194	187
Gene_00600	0	0	90	8	9	52
Gene_00601	2	0	1	0	13	0
Gene_00602	25	25	62	31	23	32
Gene_00603	5	5	26	21	0	4
Gene_00604	5	6	14	26	0	2
Gene_00605	238	183	355	1043	901	451
Gene_00606	0	0	9	0	1	2
Gene_00607	212	155	1230	673	616	373
Gene_00608	390	263	2932	1675	676	492
Gene_00609	0	7	2	0	13	6
Gene_00610	6	5	11	0	4	4
Gene_00611	312	308	1996	1365	1689	764
Gene_00612	3	2	4	14	21	5
Gene_00613	1	0	13	87	4	32
Gene_00614	0	0	19	26	13	8
Gene_00615	26	6	127	45	54	18
Gene_00616	323	238	850	854	908	558
Gene_00617	0	1	1	0	1	0
Gene_00618	0	0	0	0	0	1
Gene_00619	2	0	0	0	0	7
Gene_00620	415	410	62	1010	28	233
Gene_00621	31	18	65	12	45	29
Gene_00622	3	5	4	0	7	2
Gene_00623	1	0	2	0	0	0
Gene_00624	574	752	2706	1389	1468	731
Gene_00625	1	15	9	83	5	6
Gene_00626	49	42	344	401	251	77
Gene_00627	36	22	19	0	26	86
Gene_00628	0	0	0	0	1	0
Gene_00629	64	4	86	4	26	26
Gene_00630	58	26	246	30	88	42
Gene_00631	14	44	72	89	71	38
Gene_00632	2	3	2	5	4	2
Gene_00633	230	340	1455	2696	1544	719
Gene_00634	0	0	0	1	0	0
Gene_00635	309	286	1285	1112	972	985
Gene_00636	3	6	3	39	13	5
Gene_00637	2	0	6	3	3	1
Gene_00638	18	1	17	0	0	1
Gene_00639	206	256	410	242	335	128
Gene_00640	15	1	26	2	7	3
Gene_00641	28	31	52	45	76	24
Gene_00642	4	3	3	6	0	2
Gene_00643	6	6	4	1	16	11
Gene_00644	0	1	3	4	0	4
Gene_00645	2	0	30	143	28	24
Gene_00646	2	4	6	0	0	8
Gene_00647	41	39	163	101	88	47
Gene_00648	88	51	139	277	130	68
Gene_00649	1	0	6	0	0	0
Gene_00650	354	287	577	420	1467	440
Gene_00651	586	491	1997	6175	2857	1315
Gene_00652	135	152	129	259	97	49
Gene_00653	70	76	160	24	0	2
Gene_00654	17	10	85	62	105	36
Gene_00655	3	4	8	4	1	4
Gene_00656	9	2	28	8	7	11
Gene_00657	15	24	44	36	138	80
Gene_00658	2	0	31	11	0	6
Gene_00659	3	4	12	0	46	7
Gene_00660	4	3	2	0	0	4
Gene_00661	105	85	239	301	379	164
Gene_00662	58	38	70	0	39	49
Gene_00663	0	0	0	0	10	1
Gene_00664	39	50	71	52	110	21
Gene_00665	2	0	2	0	490	209
Gene_00666	54	45	440	381	201	250
Gene_00667	0	0	1	0	0	0
Gene_00668	134	106	229	148	79	35
Gene_00669	49	31	93	272	76	53
Gene_00670	96	81	121	94	239	126
Gene_00671	9	17	12	14	13	25
Gene_00672	1	0	11	0	9	0
Gene_00673	19	4	36	52	45	12
Gene_00674	0	0	0	0	0	3
Gene_00675	12	2	54	5	19	23
Gene_00676	1	0	0	0	0	1
Gene_00677	7	3	45	58	41	24
Gene_00678	70	15	83	10	61	42
Gene_00679	28	36	54	132	54	56
Gene_00680	0	0	1	0	0	0
Gene_00681	89	36	112	93	92	95
Gene_00682	54	33	39	73	223	233
Gene_00683	0	2	10	0	11	3
Gene_00684	10	7	6	12	13	29
Gene_00685	31	31	18	1	0	5
Gene_00686	1	0	9	13	0	0
Gene_00687	26	15	29	175	47	43
Gene_00688	249	215	1045	629	704	241
Gene_00689	28	42	248	118	148	202
Gene_00690	28	33	51	55	21	12
Gene_00691	34	42	55	70	0	49
Gene_00692	24	17	105	93	41	93
Gene_00693	1	0	0	0	0	0
Gene_00694	4	16	0	0	0	0
Gene_00695	38	31	113	29	34	10
Gene_00696	57	129	56	98	178	58
Gene_00697	177	129	148	63	175	158
Gene_00698	9	16	61	295	1	0
Gene_00699	143	59	193	48	138	81
Gene_00700	5	1	3	0	0	2
Gene_00701	0	0	4	27	0	0
Gene_00702	150	212	616	705	271	87
Gene_00703	95	59	48	124	350	477
Gene_00704	1	0	5	0	2	2
Gene_00705	108	66	123	241	359	281
Gene_00706	77	68	410	39	28	78
Gene_00707	44	39	113	98	196	54
Gene_00708	85	97	209	34	138	220
Gene_00709	437	411	1025	1187	727	487
Gene_00710	0	0	1	0	0	0
Gene_00711	23	21	127	56	79	29
Gene_00712	0	0	0	1	0	0
Gene_00713	0	0	0	7	0	0
Gene_00714	0	0	2	0	0	0
Gene_00715	3324	2684	3366	9386	10588	2440
Gene_00716	28	7	12	1	17	5
Gene_00717	16	7	60	5	14	43
Gene_00718	85	107	133	81	43	220
Gene_00719	1	0	3	0	0	0
Gene_00720	1	0	1	0	30	6
Gene_00721	106	52	210	258	163	82
Gene_00722	1	3	0	0	2	1
Gene_00723	59	39	148	65	49	43
